# Windows privilege-escalation signatures, mapped to the HackTricks "Local Windows Privilege
# Escalation" checklist. The winprivesc detector matches each `pattern` (a case-insensitive
# regex) against every line of a winPEAS run or a raw enum snippet, and reports the ones that
# hit with a plain-English "what it is" and "where to look / how to abuse it".
#
# ADD YOUR OWN: append a row. pattern is Java regex (case-insensitive, no need for (?i)), tabs
# separate columns, and `next` is the exploitation pointer. category is just for grouping.
#
# id                pattern    severity  category  title  meaning  next
id	pattern	severity	category	title	meaning	next
cred_guard_off	Credential Guard.{0,20}(not|disabled|0\b)	INFO	Credentials	Credential Guard not enabled	Domain credentials are not isolated in VBS, so LSASS dumping recovers them.	dump LSASS as above   (checklist: Credentials Guard)
laps_absent	LAPS.{0,20}(not installed|not enabled|disabled)	INFO	Credentials	LAPS not in use	Local administrator passwords are not randomised per host, so one recovered local admin password may work everywhere.	spray a recovered local admin hash/password across the network   (checklist: LAPS)
autologon_password	(DefaultPassword|AutoAdminLogon)\s+(REG_SZ|REG_DWORD)?\s*\S	CRITICAL	Credentials	Autologon credentials in the registry	Winlogon stores a cleartext auto-logon username and password under the registry.	reg query "HKLM\...\Winlogon" ; read DefaultUserName / DefaultDomainName / DefaultPassword   (checklist: Winlogon credentials)
ps_history	ConsoleHost_history\.txt	NOTICE	Credentials	PowerShell console history	PowerShell saves every command here, frequently including passwords typed on the command line.	type %APPDATA%\Microsoft\Windows\PowerShell\PSReadline\ConsoleHost_history.txt   (checklist: passwords in PowerShell history)
unattend_files	(unattend(ed)?\.xml|autounattend\.xml|sysprep\.(xml|inf))	WARN	Credentials	Unattended install file	Sysprep/unattend answer files routinely embed a base64-encoded local administrator password.	find the <Password><Value> and base64-decode it   (checklist: passwords in unattended files)
gpp_cpassword	(cpassword|Groups\.xml|Services\.xml|ScheduledTasks\.xml|DataSources\.xml)	CRITICAL	Credentials	Group Policy Preferences password	GPP files store a "cpassword" encrypted with an AES key Microsoft published, so it is trivially reversible.	gpp-decrypt <cpassword>   (checklist: cached GPP password)
sam_backup	(\\repair\\(SAM|SYSTEM)|\\regback\\(SAM|SYSTEM)|(SAM|SYSTEM|NTDS\.dit).{0,20}backup)	CRITICAL	Credentials	SAM / SYSTEM / NTDS backup	A copy of the hive(s) holding local (or domain) password hashes.	secretsdump.py -sam SAM -system SYSTEM LOCAL   (checklist: SAM & SYSTEM backup)
cmdkey_saved	(cmdkey.{0,10}/list|Currently stored credentials|TERMSRV/)	WARN	Credentials	Saved credentials (cmdkey)	Stored credentials you can use without knowing the password via runas /savecred.	runas /savecred /user:<user> "C:\path\evil.exe"   (checklist: passwords in recently run commands)
web_config	(web\.config|applicationHost\.config|connectionString)	WARN	Credentials	IIS web.config / connection string	Web and IIS config files hold database and application credentials, sometimes only lightly encrypted.	aspnet_regiis -pdf connectionStrings, or read the file directly   (checklist: IIS web config password)
mcafee_sitelist	SiteList\.xml	WARN	Credentials	McAfee SiteList.xml	Holds an obfuscated domain service-account password with a well-known key.	decrypt the SiteList.xml password (public tooling)   (checklist: McAfee SiteList)
wifi_key	(netsh wlan show profile|Key Content\s*:|profile\s+\S+\s+key=clear)	NOTICE	Credentials	Saved Wi-Fi password	The pre-shared key of a stored wireless profile can be printed in cleartext.	netsh wlan show profile <ssid> key=clear   (checklist: saved Wifi passwords)
putty_session	(PuTTY\\Sessions|ProxyPassword|\\SimonTatham\\PuTTY)	NOTICE	Credentials	PuTTY saved session	Saved PuTTY sessions can contain a cleartext ProxyPassword and cached SSH host keys.	reg query HKCU\Software\SimonTatham\PuTTY\Sessions   (checklist: Putty creds)
rdp_saved	(Terminal Server Client\\Servers|\.rdp\b|Default\.rdp)	NOTICE	Credentials	Saved RDP connection	Saved RDP connections (and .rdp files) can reveal hosts and, via Credential Manager, reusable credentials.	dir /a %USERPROFILE%\Documents\Default.rdp ; check Credential Manager   (checklist: saved RDP connections)
appcmd	AppCmd\.exe	WARN	Credentials	AppCmd.exe present	If AppCmd.exe exists you can often recover IIS application-pool credentials in cleartext.	appcmd.exe list apppool /@t:*   (checklist: AppCmd.exe credentials)
scclient_sideload	SCClient\.exe	NOTICE	Applications	SCClient.exe (SCCM) present	SCCM's SCClient.exe is prone to DLL side-loading, a route to code execution / escalation.	plant a hijack DLL alongside it   (checklist: SCClient DLL side loading)
ssh_keys	(id_rsa\b|\.ssh\\|OpenSSH\\Agent|HKCU.{0,30}OpenSSH)	NOTICE	Credentials	SSH keys	Private SSH keys on disk or cached in the registry can unlock other hosts.	copy the key / query the OpenSSH agent registry   (checklist: SSH keys / Putty host keys)
cloud_creds	(\.aws\\credentials|\.azure\\|gcloud\\|credentials\.db|\.config\\gcloud)	WARN	Credentials	Cloud credentials	Cloud CLI credential files grant access to the account's cloud resources.	read the credential file and use the cloud CLI   (checklist: cloud credentials)
writable_path_dir	((writable|write access).{0,20}PATH|PATH.{0,20}(writable|you can write)|folder in PATH.{0,20}writable)	WARN	DLL	Writable directory in PATH	A directory in the system PATH that you can write to. Plant a DLL (or a shadowing exe) that a privileged process loads or runs.	drop a malicious DLL/exe there matching what a service loads   (checklist: write in a PATH folder / DLL hijacking)
missing_dll	(could not|cannot|failed to) (find|load).{0,20}\.dll|NAME NOT FOUND.{0,20}\.dll	WARN	DLL	Service loads a missing DLL	A privileged process tries to load a DLL that does not exist; if any search-path directory is writable, your DLL loads instead.	place the named DLL in a writable search-path directory   (checklist: known service binary loading a non-existent DLL)
startup_writable	(Startup).{0,30}(writable|you can write|FullControl.{0,15}Users)	WARN	Applications	Writable Startup / autorun	You can write to a Startup folder or Run key target, so your code runs when that user logs in.	drop a payload in the Startup folder / set a Run value   (checklist: startup applications)
installed_app_writable	(Program Files( \(x86\))?\\[^\t]{1,60}).{0,30}(writable|you can write|Users.{0,10}(Write|FullControl|Modify))	WARN	Applications	Writable installed application	You can overwrite a binary of an installed application; if it runs as a service or at a higher privilege, that is code execution.	replace the binary and wait for it to run   (checklist: write permissions on installed applications)
vuln_driver	(vulnerable driver|loaded driver|\.sys\b.{0,20}(vulnerable|exploit)|capcom\.sys|dbutil)	WARN	Drivers	Vulnerable driver	A loaded kernel driver with a known vulnerability - a route to ring-0 code execution (BYOVD).	map the driver to a known exploit (loldrivers)   (checklist: vulnerable drivers)
spooler_running	(Spooler|Print Spooler).{0,20}(RUNNING|Running|started)	NOTICE	Services	Print Spooler running	The spooler enables PrintNightmare (CVE-2021-34527) and is a coercion source for Potato attacks.	check patch level; PrintNightmare / PrintSpoofer   (checklist: service triggers / privileged services)
defender_off	(Windows Defender|Real-?Time Protection|AntivirusEnabled).{0,20}(disabled|is off|0\b|False)	NOTICE	Defenses	Defender / AV disabled	Real-time protection is off, so tooling runs without being caught or cleaned.	stage and run your tooling directly   (checklist: check if any AV)
applocker	AppLocker.{0,30}(rule|enforce|not configured|disabled)	INFO	Defenses	AppLocker policy	AppLocker controls which binaries run. Note the enforcement mode and look for writable allowed paths / LOLBin bypasses.	enumerate rules; abuse a writable allowed path or an interpreter bypass   (checklist: AppLocker policy)
cached_creds	(CachedLogonsCount)\s+(REG_SZ\s+)?[1-9]	INFO	Credentials	Domain credentials are cached	The host caches domain logons (mscash), which can be dumped and cracked offline.	dump cached hashes and crack (hashcat -m 2100)   (checklist: cached credentials)
localhost_service	(127\.0\.0\.1|::1):[0-9]{1,5}.{0,20}(LISTENING|LISTEN)	INFO	Network	Service bound to localhost only	Only reachable from the box itself - often an admin panel or DB with weaker auth. Reach it via a tunnel or local exploit.	port-forward or exploit it locally   (checklist: hidden local services on 127.0.0.1)
recycle_bin	(\$Recycle\.Bin|Recycler)	INFO	Credentials	Recycle Bin contents	Deleted files (scripts, configs, backups) in the Recycle Bin sometimes still hold credentials.	dir /a on the $Recycle.Bin SID folders   (checklist: files in the Recycle Bin)
env_secrets	(set\s+\w*(PASS|PWD|KEY|TOKEN|SECRET)\w*=|\b(PASSWORD|APIKEY|SECRET)\b\s*=\s*\S)	NOTICE	Credentials	Secret in environment variables	An environment variable appears to hold a password, key or token in cleartext.	read the variable value; try it elsewhere   (checklist: interesting info in env vars)
leaked_handle	(leaked|inherited).{0,20}handle|SeDebug.{0,20}handle	NOTICE	Tokens	Leaked process handle	A handle to a privileged process may be inheritable, letting you duplicate its token or inject.	duplicate the handle's token / inject   (checklist: leaked handlers)
named_pipe	(\\\\\.\\pipe\\|named pipe).{0,30}(impersonat|writable|everyone)	NOTICE	Tokens	Named pipe you may abuse	A named pipe a privileged client connects to can let you impersonate that client's token.	create/hook the pipe and call ImpersonateNamedPipeClient   (checklist: pipe client impersonation)
