# Linux privilege-escalation signatures for the linprivesc detector (the linPEAS counterpart to
# windows_signatures.tsv). These cover the HackTricks Linux checklist items that the structured
# detectors do NOT already handle - sudo -l, SUID, capabilities, cron, kernel CVEs and
# passwd/shadow parsing are each their own detector, so this file deliberately avoids them and
# focuses on writable-sensitive-files, NFS, containers, keys, creds, and the CVE tags linPEAS
# itself prints.
#
# pattern is a case-insensitive Java regex matched against each (colour-stripped) line. Add rows.
#
# id                pattern    severity  category  title  meaning  next
id	pattern	severity	category	title	meaning	next
nfs_norootsquash	no_root_squash	CRITICAL	NFS	NFS export with no_root_squash	Root on the client stays root on the share. From a box you control, drop a SUID-root binary into the export and run it here.	mount -o rw <host>:/share /mnt ; cp /bin/bash /mnt/x ; chmod +s /mnt/x ; /share/x -p   (checklist: NFS no_root_squash)
nfs_export	(insecure\b.{0,15}export|/etc/exports\b)	NOTICE	NFS	NFS export configured	Check the export options - no_root_squash and insecure are the dangerous ones.	showmount -e <host> ; read /etc/exports   (checklist: NFS)
docker_sock	(/var/run/docker\.sock|/run/docker\.sock|\bdocker\.sock\b)	CRITICAL	Containers	Docker socket reachable	Talking to the Docker daemon is root on the host - it runs as root and will mount the host filesystem for you.	docker -H unix:///var/run/docker.sock run -v /:/mnt --rm -it alpine chroot /mnt sh   (checklist: docker socket)
in_container	(/\.dockerenv|you are inside a container|inside a docker container|running in a container)	INFO	Containers	Running inside a container	You are in a container - the escape targets are host mounts, the docker socket, and excess capabilities.	look for -v host mounts, /var/run/docker.sock, CAP_SYS_ADMIN   (checklist: containers)
privileged_container	(CapEff:\s*0000003fffffffff|CapEff:\s*000001ffffffffff|privileged\b.{0,12}container|--privileged)	CRITICAL	Containers	Privileged container / full capabilities	With every capability you can mount host block devices and reach the host filesystem directly.	mount /dev/sda1 /mnt ; chroot /mnt   (checklist: privileged container)
ssh_privkey	(-----BEGIN (RSA|OPENSSH|DSA|EC) PRIVATE KEY|/\.ssh/id_(rsa|ed25519|ecdsa|dsa)\b)	NOTICE	Credentials	SSH private key	A private key on disk may unlock this host's other users or entirely different machines.	chmod 600 key ; ssh -i key user@host ; check authorized_keys reuse   (checklist: SSH keys)
authorized_keys_w	authorized_keys\b.{0,20}(writable|you can write)	WARN	Credentials	Writable authorized_keys	Append your own public key and log straight in as that user.	echo "<your pubkey>" >> ~victim/.ssh/authorized_keys ; ssh victim@host   (checklist: SSH keys)
history_files	(\.bash_history|\.zsh_history|\.mysql_history|\.psql_history|\.python_history|\.viminfo)	NOTICE	Credentials	Shell / DB history file	History files often record passwords typed on the command line.	grep -iE 'pass|token|-p ' <file>   (checklist: passwords in history)
env_secret	(export\s+)?[A-Z_]{0,20}(PASSWORD|PASSWD|APIKEY|API_KEY|SECRET|TOKEN)[A-Z_]{0,10}\s*=\s*\S	NOTICE	Credentials	Secret in an environment variable	An env var appears to hold a password/key/token in cleartext.	note the value ; try it for reuse (sudo, ssh, db)   (checklist: env vars)
mysql_root_nopass	mysql.{0,25}(without a? ?password|no password|as root with no|-u\s*root\s*($|\s-e))	WARN	Credentials	MySQL reachable as root without a password	A local root MySQL with no password is a credential store and, via UDF, command execution.	mysql -u root ; then dump creds or load a UDF for exec   (checklist: databases)
ptrace_scope	(ptrace_scope|yama).{0,15}\b0\b	NOTICE	Processes	ptrace protection is off	yama ptrace_scope=0 lets you attach to other processes of your user - dump their memory for credentials.	gdb -p <pid> / read /proc/<pid>/mem ; mine for passwords   (checklist: memory password mining)
shared_tmux	(/tmp/\S*tmux\S*|shared tmux|old tmux sessions|screenrc.{0,10}multiuser|/\S*screen/S-\S+)	NOTICE	Sessions	Shared tmux / screen socket	A multiplexer socket owned by another (often root) user lets you attach to their live session.	tmux -S <socket> attach   (checklist: user sessions)
pwnkit	(CVE-2021-4034|PwnKit)	CRITICAL	CVE	PwnKit - polkit pkexec (CVE-2021-4034)	A memory-corruption bug in pkexec giving local root on essentially every unpatched polkit. One-shot public exploits.	confirm pkexec/polkit < 0.120, then run a PwnKit PoC   (checklist: kernel/pkexec exploits)
polkit_3560	CVE-2021-3560	CRITICAL	CVE	Polkit CVE-2021-3560	A D-Bus timing bug lets an unprivileged user create a new privileged account.	needs polkit + accountsservice ; use the public PoC   (checklist: pkexec/polkit)
dirtypipe	(CVE-2022-0847|Dirty[ _]?Pipe)	CRITICAL	CVE	Dirty Pipe (CVE-2022-0847)	Overwrite read-only files (a SUID binary, /etc/passwd) to get root. Kernels 5.8 - 5.16.x. The kernel detector also matches this by version.	confirm the kernel build, run a Dirty Pipe PoC   (checklist: kernel exploits)
dirtycow	(CVE-2016-5195|Dirty[ _]?Cow)	CRITICAL	CVE	Dirty COW (CVE-2016-5195)	The classic copy-on-write race to root on older kernels.	confirm the kernel build, run a Dirty COW PoC   (checklist: kernel exploits)
baron_samedit	(CVE-2021-3156|Baron Samedit)	CRITICAL	CVE	Baron Samedit - sudo (CVE-2021-3156)	A sudo heap overflow giving root from any local user. sudo 1.8.2 - 1.9.5p1. The sudo detector also matches this by version.	confirm the sudo version, run a Baron Samedit PoC   (checklist: sudo version)
looney_tunables	(CVE-2023-4911|Looney Tunables)	CRITICAL	CVE	Looney Tunables - glibc (CVE-2023-4911)	A buffer overflow in glibc's ld.so GLIBC_TUNABLES handling, local root on many 2023-era distros.	confirm the glibc version, run a Looney Tunables PoC   (checklist: kernel/libc exploits)
